ID,Student ID,Mathematics,Literature,Subject combination,Physics/History,Chemistry/Geography,Biology/Civic education,Foreign language,Foreign language code
1625,1001626,,8.5,Society,8.75,6.75,,,
1627,1001628,7.8,,Society,5.5,7.5,,,
1628,1001629,,7.5,Society,7,6,,,
1629,1001630,,7.75,Society,9.75,9.5,,,
1630,1001631,,8,Society,9.5,8.75,,,
1632,1001633,,8.75,Society,7.75,7.5,,,
1633,1001634,3.2,6.75,Society,4.75,,,,
1634,1001635,5.4,7,Society,6.5,,,,
1635,1001636,,8.25,Society,3.75,5.5,,,
1636,1001637,,7,Society,8.25,8.5,,,
1637,1001638,,6.75,Society,8.5,7.25,,,
1638,1001639,,6.75,Society,6.5,6.5,,,
1639,1001640,,6.75,Society,5.5,5.75,,,
1640,1001641,8.4,,Society,7.75,7.75,,,
1641,1001642,,6,Society,4.5,5,,,
1642,1001643,7.4,8.75,Society,5.25,5,8.5,9.2,N1
1643,1001644,8,8.5,Society,8,7.75,10,9.4,N1
1644,1001645,5.6,7,Society,5.5,7,8.5,5.8,N1
1645,1001646,7,8.25,Society,6.75,6.75,7.25,7.4,N1
1646,1001647,8,9.5,Society,9.25,8,9.5,9.6,N1
1647,1001648,8.8,8.75,Society,7.25,6.75,8.75,8.2,N1
1648,1001649,8,8,Society,8.75,7.75,9,8,N1
1649,1001650,7.6,8.5,Society,9,6.5,8.75,8,N1
1650,1001651,7.4,8.25,Society,5,6.75,8,8.4,N1
1651,1001652,8.6,8.5,Society,7.75,7.75,9.5,9.4,N1
1652,1001653,5.8,8.75,Society,5,5,9.25,4.2,N1
1653,1001654,6.8,9,Society,5.25,6.25,7.5,6.8,N1
1654,1001655,7,9.25,Society,8.5,6,9.75,8.2,N1
1655,1001656,6.4,8.5,Society,4.5,7,9.5,8.8,N1
1656,1001657,7.6,8.5,Society,8.5,7.5,9.5,9.4,N1
1657,1001658,7.8,8.75,Society,7.75,7,9,9.6,N1
1658,1001659,7.2,8,Society,5,4.75,8.25,8.4,N1
1659,1001660,8.4,9,Society,6.5,8,9.5,9.2,N1
1660,1001661,7.4,9.25,Society,4.5,6,8.5,7,N1
1661,1001662,7.2,7,Society,7,7,8.25,7,N1
1662,1001663,7.6,8.5,Society,7.5,6.25,8.25,7.4,N1
1663,1001664,5.8,7.25,Society,7.75,7,9,7.2,N1
1664,1001665,7.8,8.5,Society,8.25,6.25,8.5,8.8,N1
1665,1001666,7.2,8.5,Society,4.25,5.75,5.5,8.4,N1
1666,1001667,7.2,8.25,Society,6,5.5,8.75,7.4,N1
1667,1001668,7.6,9.25,Society,6.75,5.75,9,8,N1
1668,1001669,5.6,7.5,Society,6.5,5.75,9,4.6,N1
1669,1001670,6.4,9,Society,5.25,6,8.25,4.6,N1
1670,1001671,8.4,8,Nature,9,5.25,4.75,8.8,N1
1671,1001672,7.2,8.25,Society,5.5,5.75,7.5,8.8,N1
1672,1001673,7.2,7.25,Society,4.75,6.25,8.75,7.6,N1
1673,1001674,6.6,7.5,Society,5,6.25,9,7.6,N1
1675,1001676,6.8,7.5,Society,5.25,6,9,6.8,N1
1676,1001677,7.6,8.25,Society,7,5.25,8.5,8.8,N1
1677,1001678,5.2,7.5,Society,5,4.5,7.5,4.2,N1
1678,1001679,5.4,6.25,Society,4.25,6,9.75,8.6,N1
1679,1001680,7.4,9.25,Society,5.25,6,9.25,5.8,N1
1680,1001681,,5.5,Society,3.5,4.75,,,
1681,1001682,7.8,7.25,Nature,7.25,3.25,4.75,9.6,N1
1682,1001683,,5.5,Society,7,6.25,,,
1683,1001684,6.8,8.5,Society,3.5,5.5,7,5,N1
1684,1001685,7.8,8.5,Society,7.75,6,9.25,7.6,N1
1685,1001686,7.8,7.25,Nature,8,8,5.25,9.4,N1
1686,1001687,9.4,8.25,Nature,6.75,8.75,6,8.4,N1
1687,1001688,,7.75,Society,9,7,,,
1688,1001689,6,8.25,Society,8,6.5,7.25,7.2,N1
1689,1001690,,7,Society,5.75,7,,,
1690,1001691,8,8.25,Society,5.25,6.75,8.25,7.2,N1
1691,1001692,8,8.25,Society,8,7.5,9.5,8.2,N1
1692,1001693,7.8,8.25,Society,6.75,4.5,8,8.4,N1
1693,1001694,7.2,8.5,Society,4.5,3.5,8,7.2,N1
1694,1001695,7.6,9.25,Society,6.75,8,8.25,8.8,N1
1695,1001696,8.6,8,Society,5.25,4.75,8.25,8,N1
1696,1001697,4.2,7.5,Society,6.5,5.75,7.75,6.4,N1
1697,1001698,8.2,8.25,Society,8.25,7.75,7.75,8.8,N1
1698,1001699,6.8,8.25,Society,5.25,6.25,6.5,4.4,N1
1699,1001700,,7.75,Society,7.5,5.75,,,
1700,1001701,4.8,7.5,Society,6.25,5.75,8.5,9,N1
1701,1001702,,6.25,Society,5.25,4.5,,,
1702,1001703,4.8,5.25,Society,5.25,5.5,6.25,4,N1
1703,1001704,,7.5,Society,8.75,6.25,,,
1704,1001705,7.2,7.25,Society,4.75,6.5,8.75,7.4,N1
1705,1001706,,4,Society,4.75,5.75,,,
1706,1001707,6,7,Society,8,5.75,8,8.2,N1
1707,1001708,5.2,8.5,Society,7,5.25,9.25,3.8,N1
1708,1001709,7.4,7.75,Society,5.75,6.5,7.75,6.8,N1
1710,1001711,7.8,9,Society,7.75,6,9,8,N1
1711,1001712,8,7,Society,6.25,6.5,8.75,8.8,N1
1712,1001713,,4.75,Society,3.75,4.25,,,
1713,1001714,3.8,7,Society,5,5.75,8.75,5.2,N1
1714,1001715,5.8,6.25,Society,5.75,5.25,7.5,7.8,N1
1715,1001716,6.6,8.5,Society,9.75,8.5,9.25,6.4,N1
1716,1001717,7.2,7.75,Society,7.75,6,8.25,7.4,N1
1717,1001718,,8,Society,8.75,7,,,
1718,1001719,8.4,8.25,Society,5.25,5.75,6.75,8.2,N1
1719,1001720,8,8.5,Society,6.25,7,8.5,9.2,N1
1720,1001721,,7.25,Society,8,7.5,,,
1721,1001722,8.2,9,Society,6.5,6.25,8.5,8.4,N1
1722,1001723,,7.5,Society,6.75,6,,,
1723,1001724,,8.25,Society,8,9.5,,,
1724,1001725,6.8,8.5,Society,6.25,6.25,8.5,6.2,N1
1725,1001726,7.2,8.75,Society,7.25,5.75,8,7.2,N1
1726,1001727,,7.75,Society,7.75,7.25,,,
1728,1001729,,7.25,Society,4.5,6.25,,,
1729,1001730,,5.5,Society,7,5.5,,,
1730,1001731,4.2,5.5,Society,7,5.75,,,
1732,1001733,7.8,7,Society,6.75,7.75,8.75,8.6,N1
1733,1001734,4.6,7.25,Society,3.5,6,,,
1734,1001735,,7,Society,8.5,8,,,
1735,1001736,,4.75,Society,7.75,6,,,
1736,1001737,7.4,8.25,Society,8,6.75,8.75,8.2,N1
1737,1001738,8.2,9.25,Society,5.75,4.5,9.25,8,N1
1738,1001739,6.2,6.5,Society,7,5.75,,,
1739,1001740,6.4,7,Society,6,6,8,7.6,N1
1740,1001741,7.2,7,Society,8,8.5,9.25,8.6,N1
1741,1001742,5.4,5.25,Society,5,4.75,,,
1742,1001743,3.2,5.25,Society,6.5,3.75,,,
1743,1001744,,5.75,Society,3.75,5.25,,,
1744,1001745,7.4,6.75,Society,7.5,5,7.25,6,N1
1745,1001746,3.4,4.75,Society,4,5.75,,,
1746,1001747,8.4,9.25,Society,5,7.25,8.75,9,N1
1747,1001748,7.6,8.25,Society,5,5.75,8,7.6,N1
1748,1001749,8,8.5,Society,9,8.5,9.75,8.8,N1
1749,1001750,6.4,8.25,Society,7.75,6.5,,,
1751,1001752,3.6,6.5,Society,5.5,5.5,,,
1752,1001753,8.2,9,Society,7.25,5,7.75,7.8,N1
1753,1001754,3.6,6.75,Society,3.75,7.5,,,
1754,1001755,4.8,8,Society,6.5,5.75,7.75,7.4,N1
1755,1001756,6.8,8.5,Society,7,7,8.75,5.6,N1
1756,1001757,,5.5,Society,7.75,6.75,,,
1757,1001758,3.2,4.75,Society,4.25,4.25,,,
1758,1001759,5,8.75,Society,9.25,9.25,8.75,7.6,N1
1759,1001760,8.4,8.75,Society,4.75,5.75,8.25,8,N1
1760,1001761,4.8,7.75,Society,7,6.25,8.25,3.2,N1
1761,1001762,6.8,9,Society,7.5,6.25,8.75,8.4,N1
1762,1001763,7.8,6,Society,6,5,,,
1763,1001764,7.8,7.5,Society,5.5,5.75,9.25,9.4,N1
1764,1001765,8.4,8.25,Society,7.75,7,8.5,8.2,N1
1765,1001766,8.4,8.75,Society,4.75,7,9.5,7.4,N1
1766,1001767,7.2,7.5,Society,6,7.25,8.75,8.4,N1
1767,1001768,8.6,9,Society,5.5,5,9.25,8.4,N1
1768,1001769,7.4,8.75,Society,8.25,8.25,9,7.8,N1
1769,1001770,7.2,7.75,Society,5.5,4.75,8.25,8.2,N1
1770,1001771,8.2,9,Society,7.5,6.5,9,9.2,N1
1771,1001772,,5.25,Society,4.5,4,,,
1773,1001774,7.8,9,Society,8.75,8.75,9.75,9.2,N1
1774,1001775,7.8,8.75,Society,6.75,8,9.25,7.2,N1
1775,1001776,7,8.75,Society,7.25,7,7.75,9.4,N1
1776,1001777,5.6,8,Society,5.5,7,8.25,8.8,N1
1777,1001778,5,8,Society,8.25,8.75,9.5,6.8,N1
1778,1001779,6.8,9,Society,7.25,7,9.75,9.2,N1
1779,1001780,7.6,8.25,Society,7.25,7.5,9,8.8,N1
1780,1001781,8.4,8.5,Society,6.75,7,8.5,7.4,N1
1781,1001782,7.2,8.5,Society,7.25,5.75,9,8.2,N1
1782,1001783,8,7.5,Society,5.25,7.75,9.25,8.6,N1
1783,1001784,8,7.75,Society,7.25,7.75,10,8.6,N1
1784,1001785,6.2,5.25,Society,3.5,4.25,8.25,5.6,N1
1785,1001786,7.6,8.75,Society,5.25,6.25,9.75,5,N1
1786,1001787,5.6,8.25,Society,8.25,7.5,9.25,8.6,N1
1787,1001788,7.2,9,Society,6.5,6.75,9,7.4,N1
1788,1001789,,5.75,Society,6.75,4.25,,,
1789,1001790,6.8,8.25,Society,5.5,6,7.25,8.8,N1
1790,1001791,8,8,Society,4.25,4.5,6.5,7,N1
1791,1001792,8,8.75,Society,8.25,9.25,9.5,8.2,N1
1792,1001793,3.4,4.5,Society,3.25,3.5,,,
1793,1001794,4,7.75,Society,4.75,5.75,,,
1795,1001796,,6.75,Society,7,6,,,
1796,1001797,7.6,7.75,Society,7,7.25,9.25,7.8,N1
1797,1001798,,8.25,Society,9.5,8.75,,,
1798,1001799,3.8,7,Society,7,6.25,,,
1799,1001800,4,9.25,Society,6.75,6.5,8.75,7.8,N1
1800,1001801,6.6,7,Society,7,5.5,9.25,8.2,N1
1801,1001802,5.4,6.5,Society,5.25,7.25,8.25,3.6,N1
1802,1001803,,6,Society,3.5,5.75,,,
1803,1001804,7.2,8.25,Society,7.25,6.75,8.5,6.4,N1
1804,1001805,8.2,8.5,Society,6,6.75,9,8,N1
1805,1001806,6.6,8,Society,7.25,6,7.75,6.8,N1
1806,1001807,5.8,7.75,Society,5.25,,,,
1807,1001808,7.2,6.25,Society,5.75,7,6.5,6.6,N1
1808,1001809,6.4,7.5,Society,7,6.5,9.75,8.6,N1
1809,1001810,5.4,5.75,Society,4,,,,
1810,1001811,5.2,6.5,Society,3.25,5,6.5,8.2,N1
1811,1001812,,4,Society,4.75,5.75,,,
1812,1001813,6.8,7.75,Society,8.5,8,9.75,6,N1
1813,1001814,7.4,7.75,Society,7.25,5,8,8.8,N1
1814,1001815,6.2,7,Society,7,5.75,8.25,7.4,N1
1815,1001816,8,8.75,Society,4.5,5.75,8,8.8,N1
1816,1001817,,6.75,Society,3.5,3.75,,,
1817,1001818,3.4,6.5,Society,3.75,4.75,,,
1818,1001819,,6.25,Society,8,6.75,,,
1819,1001820,7.8,7,Society,6,6,8.5,8.8,N1
1820,1001821,,6.5,Society,7.5,5.75,,,
1821,1001822,8.2,8.5,Society,3.25,5.75,6.75,9.2,N1
1822,1001823,,8.75,Society,6.25,5.75,,,
1824,1001825,,5,Society,6,6.5,,,
1825,1001826,7.2,8.25,Society,6,6,8,8,N1
1826,1001827,4.8,7.5,Society,4.5,4.5,7.5,3,N1
1827,1001828,7,9,Society,5.5,6.5,8.25,5.2,N1
1828,1001829,8,8,Society,5,6.25,9,9,N1
1829,1001830,7.8,9,Society,4.25,5.25,7,7.8,N1
1830,1001831,8.2,8.75,Society,6.5,6.5,9.5,9,N1
1832,1001833,5.4,7.25,Society,5.25,6.5,8.25,8,N1
1833,1001834,7.4,8.5,Society,5.25,5.25,8.75,7.8,N1
1834,1001835,7,8.75,Society,8.5,6.5,8.5,8.4,N1
1835,1001836,5.8,5,Society,5.75,6.25,,,
1836,1001837,8.6,9,Society,6.5,6.5,8.5,8.8,N1
1837,1001838,8,8.25,Society,6,5.25,7.5,8,N1
1838,1001839,4.6,8.25,Society,4.75,4.75,8.5,7.4,N1
1839,1001840,8,8.75,Society,5.75,7.75,7.25,5.8,N1
1840,1001841,7,8.5,Society,6.25,7,8.25,8.4,N1
1841,1001842,6.4,8.75,Society,9.25,8.25,8.75,9,N1
1842,1001843,7.4,8.75,Society,9.25,8.5,7.25,5.6,N1
1843,1001844,8,9.25,Society,8.75,7,9,9.6,N1
1844,1001845,2.6,8.25,Society,2.25,3.25,,,
1845,1001846,8,6.25,Nature,6.5,8,6,,
1846,1001847,8.2,7.5,Nature,7.5,5.25,5.25,9.2,N1
1847,1001848,8.8,7.5,Nature,9.25,6.25,6.5,9,N1
1848,1001849,6.8,7.5,Nature,6.25,5.75,5.5,7.8,N1
1849,1001850,7.2,8,Nature,4.75,7.25,8.5,6.4,N1
1850,1001851,8.6,7.25,Nature,9.25,9.25,4.75,8.2,N1
1851,1001852,7.4,7,Nature,5.5,4.5,4.25,7.4,N1
1852,1001853,8.2,8.5,Nature,8.75,3.5,3.75,8.6,N1
1853,1001854,8.6,6.5,Nature,5.75,7.75,7.75,9.6,N1
1854,1001855,8.2,7.75,Nature,6,3.75,5.5,8.2,N1
1855,1001856,8.8,7.25,Nature,8.25,3.5,3.5,9.4,N1
1856,1001857,7.4,7.5,Nature,7.25,3.5,4.75,8.2,N1
1857,1001858,8.4,8.5,Nature,7.25,8.25,8,8.2,N1
1858,1001859,8.8,7.75,Nature,8.25,9,7.75,9.4,N1
1859,1001860,8.8,8.5,Nature,8.5,5.25,6.75,8,N1
1860,1001861,8.2,8.75,Nature,8.25,5,5.5,8.8,N1
1861,1001862,7,6.5,Nature,7.75,6.75,5,7.4,N1
1862,1001863,8.6,8.75,Nature,9.25,5.5,7.25,9.2,N1
1863,1001864,9,7.25,Nature,5.25,9,9.5,7.4,N1
1864,1001865,8.6,7,Nature,8,3.25,4,8.8,N1
1865,1001866,8.4,6.75,Nature,7.75,5.25,6.5,8.4,N1
1866,1001867,8.6,7,Nature,8,4.75,4.5,8.8,N1
1867,1001868,7,7.75,Nature,6,5.5,7,7.4,N1
1868,1001869,7.8,9.25,Nature,4,7,7.25,8.4,N1
1869,1001870,7.6,7.25,Nature,7.25,6.5,6.25,7.6,N1
1870,1001871,8.6,7.5,Nature,8.5,7,5.75,7.8,N1
1871,1001872,6.6,6.75,Nature,6.25,5.25,6,7.8,N1
1872,1001873,7.2,7.5,Nature,6.25,4,5,8.2,N1
1873,1001874,8.4,6.5,Nature,6.75,5.25,4.5,,
1874,1001875,8.6,7.25,Nature,5,8.5,9,6.2,N1
1875,1001876,7.2,7.75,Nature,3.25,8.25,4,8.8,N1
1876,1001877,8.4,8,Nature,7.5,8.5,8.25,7,N1
1877,1001878,7.8,8.75,Nature,8.25,3.75,6.75,9.2,N1
1878,1001879,8,7.5,Nature,7.5,8,6,8,N1
1879,1001880,8.8,8.5,Nature,9,6.25,7,9.6,N1
1880,1001881,8.2,8.5,Nature,8,9,6.75,8,N1
1881,1001882,9,8.75,Nature,8.75,7,6.75,8.8,N1
1882,1001883,8,8.75,Nature,4.25,7.25,6.5,9,N1
1883,1001884,8.4,8,Nature,8.75,7.5,5.5,7.2,N1
1884,1001885,8.2,6.75,Nature,7,7.25,5.75,8.2,N1
1885,1001886,8,8.75,Nature,8.5,4.5,7,9.2,N1
1886,1001887,7,8.5,Nature,7.25,6.5,8,9.8,N1
1887,1001888,8.4,7.5,Nature,5,4.75,6,8.8,N1
1888,1001889,7.8,6.25,Nature,8.25,3.75,5.5,6.6,N1
1889,1001890,7.6,8,Nature,4.5,8.75,5.25,9.4,N1
1890,1001891,7.4,8,Nature,4.5,7,5,8,N1
1891,1001892,8.6,8,Nature,8.75,7.25,6.75,9.6,N1
1892,1001893,7.6,7,Nature,7,4.75,3.75,8.2,N1
1893,1001894,7.4,8.5,Nature,4.25,5.5,5.25,9.2,N1
1894,1001895,8.2,7,Nature,7.75,6.75,7,9.4,N1
1895,1001896,8.4,6.5,Nature,7,5,6.25,8,N1
1896,1001897,7.6,7.75,Nature,8,8.25,5.5,9,N1
1897,1001898,7.8,6.5,Nature,7,3.75,3.75,8.4,N1
1898,1001899,8.8,8,Nature,7,7.75,6.75,8.2,N1
1899,1001900,7.8,8.5,Nature,7,7.25,6,3.4,N1
1900,1001901,7.6,8.5,Nature,6.5,3.5,6,8.8,N1
1902,1001903,8.4,6.5,Nature,7.75,3.25,3.5,7.4,N1
1903,1001904,8.4,7.25,Nature,3.5,7.25,4.75,6.6,N1
1904,1001905,8,7.25,Nature,6.25,7.25,5.5,8.4,N1
1905,1001906,6.2,6,Nature,3.25,6,5,8,N1
1906,1001907,8.8,8.75,Nature,8.25,7.75,8,9,N1
1908,1001909,8.4,8.5,Nature,8.25,8,6.5,9.2,N1
1909,1001910,8,7.75,Nature,6.25,8,6.25,8.2,N1
1910,1001911,7.8,6.75,Nature,7.25,6.25,5.5,8.4,N1
1911,1001912,7.2,6.75,Nature,8,4.25,6,8.8,N1
1912,1001913,8,6.75,Nature,7.75,7.5,5.5,8.2,N1
1913,1001914,8.6,6.75,Nature,7.75,6.75,7.25,8.8,N1
1914,1001915,8,7.5,Nature,7.5,6.5,6.5,6.2,N1
1915,1001916,8,6.25,Nature,8.5,5.5,6,7.4,N1
1916,1001917,8,6.5,Nature,7.25,3.5,4.75,9,N1
1917,1001918,7.8,6.5,Nature,8.5,7,6.5,9,N1
1918,1001919,7.6,6.25,Nature,7.25,4.75,5.25,3.4,N1
1919,1001920,7,5.25,Nature,7.75,5.75,4.75,7.2,N1
1920,1001921,7,6.75,Nature,4.75,8,4.5,7.6,N1
1921,1001922,7.8,7,Nature,7.75,4.5,5,,
1922,1001923,7.6,8,Nature,8,5.75,6,8.4,N1
1923,1001924,8.4,8.25,Nature,5.25,7.25,6.5,8.6,N1
1924,1001925,7.8,8,Nature,6.75,8.25,7.75,9.4,N1
1925,1001926,8.6,8,Nature,7.75,6.75,7.25,9.4,N1
1926,1001927,8,8.5,Nature,8.25,7.25,4.25,7.4,N1
1927,1001928,8.4,7.5,Nature,7,7.25,6.25,8.4,N1
1928,1001929,8.6,8,Nature,8.25,6.25,6,9,N1
1929,1001930,8.8,8.25,Nature,8,8,7.25,9,N1
1930,1001931,8.8,8.5,Nature,8.5,7,6,8.8,N1
1931,1001932,7.4,8.75,Nature,6.5,6.75,6.25,7.2,N1
1932,1001933,7.8,7,Nature,4.5,7,6,8.6,N1
1933,1001934,8,8.5,Nature,8,6.75,6,8,N1
1934,1001935,8,9.25,Society,5.75,5.75,8.5,8,N1
1935,1001936,6.8,9.25,Society,6,6,7.5,8.8,N1
1936,1001937,5.8,8.25,Society,8.25,7.5,9.25,5,N1
1937,1001938,7.4,8,Society,6.25,5.25,9.25,7.4,N1
1938,1001939,7.6,8,Society,5,5,8,9.2,N1
1939,1001940,7.8,8.75,Society,6,5.5,8.5,7.8,N1
1940,1001941,8.8,9,Society,6,6.25,8.5,8.8,N1
1941,1001942,8.4,7.75,Nature,8.25,8.75,5.25,8.4,N1
1942,1001943,7.8,8.75,Society,2.25,5.25,7.75,5.6,N1
1943,1001944,6.6,7.75,Society,3.25,6,7.5,7.2,N1
1944,1001945,7.4,8.25,Society,5,6.5,9,5.2,N1
1945,1001946,6.2,7.75,Nature,2.5,7.25,6.5,4.6,N1
1946,1001947,8,9,Society,7.75,6.25,9,8.8,N1
1947,1001948,8.4,8.75,Nature,6.5,8,7,8.4,N1
1948,1001949,5,7.75,Society,5.5,5.5,8.5,4,N1
1949,1001950,6.6,6.5,Society,7.25,7.25,9,7.2,N1
1950,1001951,7.6,8.75,Society,5.75,7.25,9.25,8.4,N4
1951,1001952,7.6,9,Society,5,5.25,7.75,9,N1
1952,1001953,6,8.75,Society,5.75,5,8.5,8.2,N1
1953,1001954,7.6,8,Nature,3.75,7,7.25,5.8,N1
1954,1001955,6,9,Society,8,7,8.75,7.6,N1
1955,1001956,7.8,8,Society,7,7.5,9.25,9,N1
1956,1001957,8,7.75,Society,6.25,5.25,8.5,8.6,N1
1957,1001958,4.6,8.5,Society,7.25,5.5,8.5,3.8,N1
1958,1001959,4.6,8,Society,5.75,5,7.75,3.8,N1
1959,1001960,4.6,8.5,Society,7,6.25,9.25,7,N1
1960,1001961,7.4,8.75,Society,5.75,6,8.5,9.8,N1
1961,1001962,8,8,Society,6.75,6.25,9,6.8,N1
1962,1001963,7.6,7,Nature,7.5,7.25,5,5.8,N1
1963,1001964,6,8,Society,6.25,6,8,7.6,N1
1964,1001965,7.8,8.75,Society,8,6.75,9,9,N1
1965,1001966,8.2,8,Nature,6.5,4.5,6.25,6,N1
1966,1001967,8.6,8.75,Nature,8.25,6,6.75,8.6,N1
1967,1001968,8.2,9,Society,8.25,7.5,9.75,8.6,N1
1968,1001969,8.4,9,Society,7,7,9.5,8.8,N1
1969,1001970,6.8,8.5,Society,3.5,5,8.5,8.6,N1
1970,1001971,7.8,9.25,Society,6.25,6,8.75,9,N1
1971,1001972,7.4,8.75,Society,6.75,4.5,7.5,8.6,N1
1972,1001973,8.4,8.5,Society,6.75,7,9,7.8,N1
1973,1001974,8.6,8.75,Society,5,6.25,7.75,8,N1
1974,1001975,8.4,7.75,Nature,6,5.75,5.5,8.4,N1
1975,1001976,8.4,8.25,Society,8.25,5.5,8.75,7.8,N1
1976,1001977,6,8.5,Society,8,8,9.25,7.4,N1
1977,1001978,8.2,8.5,Society,7.5,5.5,9,9.2,N1
1978,1001979,8,8,Nature,6.25,7.5,5.25,8.2,N1
1979,1001980,8.2,9,Society,6,6,7.75,9,N1
1980,1001981,7.8,8.5,Society,6.75,5.75,8.75,8,N1
1981,1001982,8.6,8.75,Society,4.25,5,8,8.2,N1
1982,1001983,7.8,9,Society,4.75,6,8.5,8.2,N1
1983,1001984,7.6,9,Society,4.75,5.25,8,7.8,N1
1984,1001985,7.2,8.5,Nature,3.5,6.75,6,8.6,N1
1985,1001986,3.6,6.5,Society,5.25,5.25,8,7.4,N1
1986,1001987,7.6,7,Nature,5,8.25,8,4.8,N1
1987,1001988,5.4,8.25,Society,5,6,8.25,6.4,N1
1988,1001989,8.4,9,Society,7.25,8.5,9.5,8.4,N1
1989,1001990,7.8,8.75,Nature,6.5,6.25,7.25,7,N1
1990,1001991,8,8.75,Society,7.25,6,9.25,9.2,N1
1991,1001992,7.2,9.25,Society,6.25,6.5,7.75,8.2,N1
1992,1001993,7.6,8.5,Society,5.5,5.75,8,8.4,N1
1993,1001994,8.6,6.25,Nature,8.5,4.75,5,8.6,N1
1994,1001995,8.6,9,Society,6.5,6.25,9.75,9.4,N1
1995,1001996,8.2,9,Society,7.75,8.25,8.75,8.6,N1
1996,1001997,8.6,9,Nature,7.75,4,6.75,6.8,N1
1997,1001998,6.8,8.5,Society,6.5,6.5,9.5,8.8,N1
1998,1001999,7.4,8.75,Society,8.5,8,9.5,9,N1
1999,1002000,7.8,7.75,Society,8,5.75,9.5,9,N1
2000,1002001,7.4,8.75,Society,6.75,6,8.5,8.8,N1
2001,1002002,8.2,8.75,Society,5,6.25,8.5,9.2,N1
2002,1002003,7,4.75,Nature,6.75,4,5.75,8,N1
2003,1002004,7.2,8.75,Society,7.25,5.25,8.5,9,N1
2004,1002005,4.8,8.5,Society,9,6.5,8.5,8.6,N1
2005,1002006,9,8.25,Society,5.75,7.25,9.75,8,N1
2006,1002007,6.4,7.25,Society,6,4.5,8,3.2,N1
2007,1002008,7,7.25,Society,7.5,8.75,8.25,5.2,N1
2008,1002009,7,8.75,Society,6,6,9,7.8,N1
2009,1002010,7.6,8.75,Society,6,6.25,8.75,8.6,N1
2010,1002011,7.4,7.75,Society,4.75,6.25,8,8.6,N1
2011,1002012,7.2,7,Nature,6.5,6,6.5,6.2,N1
2012,1002013,8.6,8.75,Society,8.75,7.25,9.25,8.8,N1
2013,1002014,7.6,8.5,Nature,6,3.75,7.75,8.6,N1
2014,1002015,7,8.5,Nature,5,9.25,6,9.2,N1
2015,1002016,5.6,7,Society,4.5,4.25,8.5,3.2,N1
2016,1002017,8.6,8.5,Society,6.5,7,9.25,9.4,N1
2017,1002018,7.6,9.25,Society,5.75,5.5,9.5,9.2,N1
2018,1002019,7.4,8.75,Society,8.5,6.25,8.75,8.6,N1
2019,1002020,8.4,7.5,Nature,7.75,5.75,7,8.4,N1
2020,1002021,6.4,8.75,Nature,4.5,5,4.75,7,N1
2021,1002022,8.8,8.25,Nature,8.25,8,7.25,8.2,N1
2022,1002023,8.2,7.5,Nature,7.25,7,5.5,6.4,N1
2023,1002024,8.6,8.25,Nature,5.75,7.5,5,8.8,N1
2024,1002025,5.4,8,Society,7.25,8,8.25,8.4,N1
2025,1002026,5.4,8.75,Society,6.5,6.25,8,9,N1
2026,1002027,6.2,8.5,Society,4.25,5.75,8.75,8.2,N1
2027,1002028,8,8.75,Society,9.25,7.5,7.75,7.8,N1
2028,1002029,8.2,7.75,Nature,6.25,7.5,8.75,9.8,N1
2029,1002030,5.8,8.5,Society,7.25,5.75,9.5,4.6,N1
2030,1002031,3.6,8,Society,8.5,5.75,8.25,6.8,N1
2031,1002032,9.2,6.75,Nature,8.75,4.25,6.5,8,N1
2032,1002033,8.2,8.75,Society,5.75,6.25,9,8,N1
2033,1002034,7.8,8.75,Society,7.75,7.25,9,8,N1
2034,1002035,9,8.75,Society,4.5,6.25,9,9.2,N1
2035,1002036,7,8,Society,7.25,7.25,9.5,9.2,N1
2036,1002037,6.6,8.25,Society,8.25,6.5,8.75,8.2,N1
2037,1002038,8,8.75,Society,7,7.5,8.5,9.2,N1
2038,1002039,7.6,8.5,Society,5,6.5,7.25,7.4,N1
2039,1002040,8,9,Society,7,6.5,8,8.8,N1
2040,1002041,7.8,9.25,Society,7,6.25,8.75,9.2,N1
2041,1002042,7.8,8.5,Society,5.75,6.5,8.25,7.2,N1
2042,1002043,3.8,6.5,Society,6,5.25,9,5,N1
2043,1002044,7.4,7.5,Society,7.5,6.25,8,9,N1
2044,1002045,3.6,7.75,Society,6.25,6.25,8.5,3,N1
2045,1002046,7.6,8,Nature,7.75,6.75,6.5,9.4,N1
2046,1002047,5.2,9,Society,8.25,7.25,9.25,9.4,N1
2047,1002048,8.2,7.25,Nature,8.25,8,6,5,N1
2048,1002049,7.6,7,Nature,3,6.25,5.75,6.6,N1
2049,1002050,8.4,9.5,Society,6.75,6.25,9.75,8.4,N1
2050,1002051,5.6,8,Society,5.5,5.25,8,6.2,N1
2051,1002052,8.4,7.75,Nature,4.5,8.75,6.5,7.4,N1
2052,1002053,7.6,7,Nature,7.25,7.25,7.25,8.6,N1
2053,1002054,7.4,7.25,Society,7,6.75,8.5,8.2,N1
2054,1002055,6.2,7.75,Society,4,5,8,6,N1
2056,1002057,8.4,9.25,Society,6.25,6.5,8.75,7.2,N1
2057,1002058,7.8,9.5,Society,7.5,7,9,8.2,N1
2058,1002059,8.8,9,Society,9,8.25,10,9.4,N1
2059,1002060,8.4,8.5,Nature,6.75,8.5,8.25,8.6,N1
